	sent_index	word_index	word	region	condition
0	0	0	I	prefix	that_no-gap_obj_no-emb
1	0	1	know	prefix	that_no-gap_obj_no-emb
2	0	2	that	that	that_no-gap_obj_no-emb
3	0	3	your	subj	that_no-gap_obj_no-emb
4	0	4	friend	subj	that_no-gap_obj_no-emb
5	0	5	gave	verb	that_no-gap_obj_no-emb
6	0	6	a	object	that_no-gap_obj_no-emb
7	0	7	gift	object	that_no-gap_obj_no-emb
8	0	8	to	to	that_no-gap_obj_no-emb
9	0	9	Mary	goal	that_no-gap_obj_no-emb
10	0	10	last	temporal_modifier	that_no-gap_obj_no-emb
11	0	11	weekend	temporal_modifier	that_no-gap_obj_no-emb
12	0	13	.	End	that_no-gap_obj_no-emb
13	0	14	<eos>	End	that_no-gap_obj_no-emb
14	1	0	The	prefix	that_no-gap_obj_no-emb
15	1	1	accountant	prefix	that_no-gap_obj_no-emb
16	1	2	wondered	prefix	that_no-gap_obj_no-emb
17	1	3	that	that	that_no-gap_obj_no-emb
18	1	4	the	subj	that_no-gap_obj_no-emb
19	1	5	secretary	subj	that_no-gap_obj_no-emb
20	1	6	introduced	verb	that_no-gap_obj_no-emb
21	1	7	the	object	that_no-gap_obj_no-emb
22	1	8	young	object	that_no-gap_obj_no-emb
23	1	9	man	object	that_no-gap_obj_no-emb
24	1	10	to	to	that_no-gap_obj_no-emb
25	1	11	her	goal	that_no-gap_obj_no-emb
26	1	12	friend	goal	that_no-gap_obj_no-emb
27	1	13	last	temporal_modifier	that_no-gap_obj_no-emb
28	1	14	night	temporal_modifier	that_no-gap_obj_no-emb
29	1	16	.	End	that_no-gap_obj_no-emb
30	1	17	<eos>	End	that_no-gap_obj_no-emb
31	2	0	The	prefix	that_no-gap_obj_no-emb
32	2	1	assistant	prefix	that_no-gap_obj_no-emb
33	2	2	told	prefix	that_no-gap_obj_no-emb
34	2	3	me	prefix	that_no-gap_obj_no-emb
35	2	4	that	that	that_no-gap_obj_no-emb
36	2	5	the	subj	that_no-gap_obj_no-emb
37	2	6	pilot	subj	that_no-gap_obj_no-emb
38	2	7	sent	verb	that_no-gap_obj_no-emb
39	2	8	a	object	that_no-gap_obj_no-emb
40	2	9	present	object	that_no-gap_obj_no-emb
41	2	10	to	to	that_no-gap_obj_no-emb
42	2	11	his	goal	that_no-gap_obj_no-emb
43	2	12	family	goal	that_no-gap_obj_no-emb
44	2	13	when	temporal_modifier	that_no-gap_obj_no-emb
45	2	14	we	temporal_modifier	that_no-gap_obj_no-emb
46	2	15	landed	temporal_modifier	that_no-gap_obj_no-emb
47	2	17	.	End	that_no-gap_obj_no-emb
48	2	18	<eos>	End	that_no-gap_obj_no-emb
49	3	0	We	prefix	that_no-gap_obj_no-emb
50	3	1	discovered	prefix	that_no-gap_obj_no-emb
51	3	2	that	that	that_no-gap_obj_no-emb
52	3	3	the	subj	that_no-gap_obj_no-emb
53	3	4	witty	subj	that_no-gap_obj_no-emb
54	3	5	actor	subj	that_no-gap_obj_no-emb
55	3	6	told	verb	that_no-gap_obj_no-emb
56	3	7	an	object	that_no-gap_obj_no-emb
57	3	8	embarrassing	object	that_no-gap_obj_no-emb
58	3	9	story	object	that_no-gap_obj_no-emb
59	3	10	about	to	that_no-gap_obj_no-emb
60	3	11	the	goal	that_no-gap_obj_no-emb
61	3	12	woman	goal	that_no-gap_obj_no-emb
62	3	13	during	temporal_modifier	that_no-gap_obj_no-emb
63	3	14	the	temporal_modifier	that_no-gap_obj_no-emb
64	3	15	party	temporal_modifier	that_no-gap_obj_no-emb
65	3	17	.	End	that_no-gap_obj_no-emb
66	3	18	<eos>	End	that_no-gap_obj_no-emb
67	4	0	The	prefix	that_no-gap_obj_no-emb
68	4	1	neighbors	prefix	that_no-gap_obj_no-emb
69	4	2	found	prefix	that_no-gap_obj_no-emb
70	4	3	out	prefix	that_no-gap_obj_no-emb
71	4	4	that	that	that_no-gap_obj_no-emb
72	4	5	the	subj	that_no-gap_obj_no-emb
73	4	6	young	subj	that_no-gap_obj_no-emb
74	4	7	woman	subj	that_no-gap_obj_no-emb
75	4	8	bought	verb	that_no-gap_obj_no-emb
76	4	9	some	object	that_no-gap_obj_no-emb
77	4	10	flowers	object	that_no-gap_obj_no-emb
78	4	11	for	to	that_no-gap_obj_no-emb
79	4	12	her	goal	that_no-gap_obj_no-emb
80	4	13	parents	goal	that_no-gap_obj_no-emb
81	4	14	in	temporal_modifier	that_no-gap_obj_no-emb
82	4	15	a	temporal_modifier	that_no-gap_obj_no-emb
83	4	16	rush	temporal_modifier	that_no-gap_obj_no-emb
84	4	18	.	End	that_no-gap_obj_no-emb
85	4	19	<eos>	End	that_no-gap_obj_no-emb
86	5	0	My	prefix	that_no-gap_obj_no-emb
87	5	1	friend	prefix	that_no-gap_obj_no-emb
88	5	2	knows	prefix	that_no-gap_obj_no-emb
89	5	3	that	that	that_no-gap_obj_no-emb
90	5	4	the	subj	that_no-gap_obj_no-emb
91	5	5	successful	subj	that_no-gap_obj_no-emb
92	5	6	architect	subj	that_no-gap_obj_no-emb
93	5	7	built	verb	that_no-gap_obj_no-emb
94	5	8	a	object	that_no-gap_obj_no-emb
95	5	9	house	object	that_no-gap_obj_no-emb
96	5	10	for	to	that_no-gap_obj_no-emb
97	5	11	her	goal	that_no-gap_obj_no-emb
98	5	12	mother	goal	that_no-gap_obj_no-emb
99	5	13	last	temporal_modifier	that_no-gap_obj_no-emb
100	5	14	year	temporal_modifier	that_no-gap_obj_no-emb
101	5	16	.	End	that_no-gap_obj_no-emb
102	5	17	<eos>	End	that_no-gap_obj_no-emb
103	6	0	The	prefix	that_no-gap_obj_no-emb
104	6	1	commissioner	prefix	that_no-gap_obj_no-emb
105	6	2	discovered	prefix	that_no-gap_obj_no-emb
106	6	3	that	that	that_no-gap_obj_no-emb
107	6	4	the	subj	that_no-gap_obj_no-emb
108	6	5	police	subj	that_no-gap_obj_no-emb
109	6	6	detective	subj	that_no-gap_obj_no-emb
