	sent_index	word_index	word	region	condition
0	0	0	The	intro	that_no-gap_subj
1	0	1	fact	intro	that_no-gap_subj
2	0	2	that	intro	that_no-gap_subj
3	0	3	my	subj_subj	that_no-gap_subj
4	0	4	brother	subj_subj	that_no-gap_subj
5	0	5	said	subj_subj	that_no-gap_subj
6	0	6	that	subj_that	that_no-gap_subj
7	0	7	his	subj_embed	that_no-gap_subj
8	0	8	friend	subj_embed	that_no-gap_subj
9	0	9	trusted	subj_embed	that_no-gap_subj
10	0	10	our	subject_gap	that_no-gap_subj
11	0	11	aunt	subject_gap	that_no-gap_subj
12	0	12	at	filler	that_no-gap_subj
13	0	13	the	filler	that_no-gap_subj
14	0	14	party	filler	that_no-gap_subj
15	0	15	surprised	matrix_verb	that_no-gap_subj
16	0	16	my	matrix_gap	that_no-gap_subj
17	0	17	daughter	matrix_gap	that_no-gap_subj
18	0	18	yesterday	continuation	that_no-gap_subj
19	0	19	afternoon	continuation	that_no-gap_subj
20	0	21	.	End	that_no-gap_subj
21	0	22	<eos>	End	that_no-gap_subj
22	1	0	The	intro	that_no-gap_subj
23	1	1	fact	intro	that_no-gap_subj
24	1	2	that	intro	that_no-gap_subj
25	1	3	the	subj_subj	that_no-gap_subj
26	1	4	policeman	subj_subj	that_no-gap_subj
27	1	5	knows	subj_subj	that_no-gap_subj
28	1	6	that	subj_that	that_no-gap_subj
29	1	7	the	subj_embed	that_no-gap_subj
30	1	8	criminal	subj_embed	that_no-gap_subj
31	1	9	shot	subj_embed	that_no-gap_subj
32	1	10	the	subject_gap	that_no-gap_subj
33	1	11	old	subject_gap	that_no-gap_subj
34	1	12	widow	subject_gap	that_no-gap_subj
35	1	13	with	filler	that_no-gap_subj
36	1	14	a	filler	that_no-gap_subj
37	1	15	gun	filler	that_no-gap_subj
38	1	16	reassured	matrix_verb	that_no-gap_subj
39	1	17	the	matrix_gap	that_no-gap_subj
40	1	18	mayor	matrix_gap	that_no-gap_subj
41	1	19	last	continuation	that_no-gap_subj
42	1	20	year	continuation	that_no-gap_subj
43	1	22	.	End	that_no-gap_subj
44	1	23	<eos>	End	that_no-gap_subj
45	2	0	The	intro	that_no-gap_subj
46	2	1	fact	intro	that_no-gap_subj
47	2	2	that	intro	that_no-gap_subj
48	2	3	the	subj_subj	that_no-gap_subj
49	2	4	guard	subj_subj	that_no-gap_subj
50	2	5	said	subj_subj	that_no-gap_subj
51	2	6	that	subj_that	that_no-gap_subj
52	2	7	the	subj_embed	that_no-gap_subj
53	2	8	prisoner	subj_embed	that_no-gap_subj
54	2	9	kicked	subj_embed	that_no-gap_subj
